Inference - NonGaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e1r3.pt
result_path: ../infer_results/infer_NonGaussian_REDS4
quick_test: NonGaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e1r3.pt
> 011-00000083 PSNR=29.935, SSIM=0.8343 pre_time:0.0287s, forward_time:0.472s, post_time:2.26s, total_time:2.76s
> 011-00000084 PSNR=30.056, SSIM=0.8416 pre_time:0.0276s, forward_time:0.523s, post_time:2.32s, total_time:2.87s
> 011-00000085 PSNR=29.834, SSIM=0.8338 pre_time:0.0275s, forward_time:0.517s, post_time:2.27s, total_time:2.82s
> 011-00000086 PSNR=29.834, SSIM=0.8338 pre_time:0.0287s, forward_time:0.52s, post_time:2.21s, total_time:2.76s
> 011-00000087 PSNR=29.869, SSIM=0.8417 pre_time:0.028s, forward_time:0.515s, post_time:2.25s, total_time:2.79s
> 011-00000088 PSNR=30.007, SSIM=0.8548 pre_time:0.028s, forward_time:0.524s, post_time:2.25s, total_time:2.8s
> 011-00000089 PSNR=29.95, SSIM=0.8529 pre_time:0.0282s, forward_time:0.515s, post_time:2.25s, total_time:2.79s
> 011-00000090 PSNR=29.894, SSIM=0.853 pre_time:0.029s, forward_time:0.463s, post_time:2.11s, total_time:2.6s
> 011-00000091 PSNR=29.803, SSIM=0.8526 pre_time:0.0283s, forward_time:0.518s, post_time:2.25s, total_time:2.79s
> 011-00000092 PSNR=29.714, SSIM=0.8533 pre_time:0.0276s, forward_time:0.512s, post_time:2.24s, total_time:2.78s
> 011-00000093 PSNR=29.581, SSIM=0.8515 pre_time:0.0276s, forward_time:0.522s, post_time:2.3s, total_time:2.85s
